"rhs_0","rhs_1","solution_0","solution_1","Points:0","Points:1","Points:2"
0,0,0.001,0,0.001,0.001,0
0,0,0,0,1.0008,0.001,0
0,0,0.001,0,0.001,1.0008,0
0,0,0,0,1.0008,1.0008,0
0,0,0,0,1.0008,0.001,0
0,0,0,0,2.0005,0.001,0
0,0,0,0,1.0008,1.0008,0
0,0,0,0,2.0005,1.0008,0
0,0,0.001,0,0.001,1.0008,0
0,0,0,0,1.0008,1.0008,0
0,0,0.001,0,0.001,2.0005,0
0,0,0,0,1.0008,2.0005,0
0,0,0,0,1.0008,1.0008,0
0,0,0,0,2.0005,1.0008,0
0,0,0,0,1.0008,2.0005,0
0,0,0,0,2.0005,2.0005,0
0,0,0,0,2.0005,0.001,0
0,0,0,0,3.0002,0.001,0
0,0,0,0,2.0005,1.0008,0
0,0,0,0,3.0002,1.0008,0
0,0,0,0,3.0002,0.001,0
0,0,0.001,0,4,0.001,0
0,0,0,0,3.0002,1.0008,0
0,0,0.001,0,4,1.0008,0
0,0,0,0,2.0005,1.0008,0
0,0,0,0,3.0002,1.0008,0
0,0,0,0,2.0005,2.0005,0
0,0,0,0,3.0002,2.0005,0
0,0,0,0,3.0002,1.0008,0
0,0,0.001,0,4,1.0008,0
0,0,0,0,3.0002,2.0005,0
0,0,0.001,0,4,2.0005,0
0,0,0.001,0,0.001,2.0005,0
0,0,0,0,1.0008,2.0005,0
0,0,0.001,0,0.001,3.0002,0
0,0,0,0,1.0008,3.0002,0
0,0,0,0,1.0008,2.0005,0
0,0,0,0,2.0005,2.0005,0
0,0,0,0,1.0008,3.0002,0
0,0,0,0,2.0005,3.0002,0
0,0,0.001,0,0.001,3.0002,0
0,0,0,0,1.0008,3.0002,0
0,0,0.001,0,0.001,4,0
0,0,0,0,1.0008,4,0
0,0,0,0,1.0008,3.0002,0
0,0,0,0,2.0005,3.0002,0
0,0,0,0,1.0008,4,0
0,0,0,0,2.0005,4,0
0,0,0,0,2.0005,2.0005,0
0,0,0,0,3.0002,2.0005,0
0,0,0,0,2.0005,3.0002,0
0,0,0,0,3.0002,3.0002,0
0,0,0,0,3.0002,2.0005,0
0,0,0.001,0,4,2.0005,0
0,0,0,0,3.0002,3.0002,0
0,0,0.001,0,4,3.0002,0
0,0,0,0,2.0005,3.0002,0
0,0,0,0,3.0002,3.0002,0
0,0,0,0,2.0005,4,0
0,0,0,0,3.0002,4,0
0,0,0,0,3.0002,3.0002,0
0,0,0.001,0,4,3.0002,0
0,0,0,0,3.0002,4,0
0,0,0.001,0,4,4,0
